ad_number,base_ad_number,base_year,cohort,family,ata,strata,rationale,logical_version_key,revision_number,is_correction,correction_date,issue_date,page_count,file_name,relative_path,file_instance_id,content_id,file_sha256,normalized_text_sha256,drive_file_id,pdf_url,detail_url,near_duplicate_cluster,supersedes_ad_numbers,double_annotation,annotator_a,annotator_b,adjudication,selection_status,selection_frozen_on
2025-0068,2025-0068,2025,2019-2026,A318-A321,25,complex_applicability|table_heavy|long_document|near_duplicate_cluster,First member of the recent high-similarity pair; explicitly supersedes 2024-0038.,2025-0068|UNCORRECTED,0,False,,2025-04-11,10,2025-0068__AD_2025-0068_1__EASA_AD_2025_0068_superseded.pdf,2025-0068__AD_2025-0068_1__EASA_AD_2025_0068_superseded.pdf,6e80e67e640ba6d1,b9b9ffde8d641f4d,b9b9ffde8d641f4d7d15b5727802a41010367c05af4746e515cd5d58d0150003,9a4f5b9a8509a605f6f9faaf34e5507754a09721f12faf4d21a68cd2c458e7e8,1DqNuvBWiyJmstYGzv4meQIdl0eaUp1Qn,https://ad.easa.europa.eu/blob/EASA_AD_2025_0068_superseded.pdf/AD_2025-0068_1,https://ad.easa.europa.eu/ad/2025-0068,near-2024-0038--2025-0068--2026-0017,2024-0038,True,required,required,required,selected_pdf_hash_verified,2026-07-22
2026-0017,2026-0017,2026,2019-2026,A318-A321,25,complex_applicability|table_heavy|long_document|near_duplicate_cluster,Second member of the recent high-similarity pair; explicitly supersedes 2025-0068.,2026-0017|UNCORRECTED,0,False,,2026-02-06,10,2026-0017__AD_2026-0017_1__EASA_AD_2026_0017.pdf,2026-0017__AD_2026-0017_1__EASA_AD_2026_0017.pdf,1f3af1a66dad0ea4,3c33ddd4bfa6cd6b,3c33ddd4bfa6cd6b5684177b707f18c8b6ae538e4f919641146c2230f0b558bb,ed8aaa01b87c6f57ff762f5289f663e85cf14ea99c04ebeb8e9c4a68ebd1667a,1Dvr81oPyBz-A-UBCgJwVWEfYqnSoNOIh,https://ad.easa.europa.eu/blob/EASA_AD_2026_0017.pdf/AD_2026-0017_1,https://ad.easa.europa.eu/ad/2026-0017,near-2024-0038--2025-0068--2026-0017,2025-0068,True,required,required,required,selected_pdf_hash_verified,2026-07-22
2026-0079,2026-0079,2026,2019-2026,A318-A321,23,complex_applicability|stc_conditioned,"Third-party approval-holder case with manufacturer wording 'Airbus, formerly Airbus Industrie'.",2026-0079|UNCORRECTED,0,False,,2026-05-01,3,2026-0079__AD_2026-0079_1__EASA_AD_2026_0079.pdf,2026-0079__AD_2026-0079_1__EASA_AD_2026_0079.pdf,1f16f3df632283df,ea0fcb565e595384,ea0fcb565e595384ab29fe539f61ac7c42dc1045e534f57e4753d5a0f390a3df,4b085d64c3e73171e10023c72a38e7e950be8c9fbac74f9c58d2df83282c2404,1wWIj-WoElNNO_Ys3D_eUojeT3gakmyzX,https://ad.easa.europa.eu/blob/EASA_AD_2026_0079.pdf/AD_2026-0079_1,https://ad.easa.europa.eu/ad/2026-0079,,,False,required,not_assigned,review_required,selected_pdf_hash_verified,2026-07-22
2006-0047,2006-0047,2006,2006-2018,A330,25,complex_applicability,Early-format widebody AD with repetitive/terminating-action logic.,2006-0047|UNCORRECTED,0,False,,2006-02-16,4,2006-0047__AD_2006-0047_1__easa_ad_2006_0047_superseded.pdf,2006-0047__AD_2006-0047_1__easa_ad_2006_0047_superseded.pdf,8dd9dd9099deb529,964209f8742cdc0d,964209f8742cdc0d98b0f8b05dfe0ffd553ba39d21415580d4e7ff95a5ff4887,b4e109bdc5101ff50b68bc6dc9c5ba3c038546a28025e127c836139698edda3a,1lsYmN76qO3hTX21_FVvYH3PHHxK0pHkb,https://ad.easa.europa.eu/blob/easa_ad_2006_0047_superseded.pdf/AD_2006-0047_1,https://ad.easa.europa.eu/ad/2006-0047,,,False,required,not_assigned,review_required,selected_pdf_hash_verified,2026-07-22
2007-0022,2007-0022,2007,2006-2018,A300-600ST,24,simple,Short early-format Beluga AD and negative/none relationship case.,2007-0022|UNCORRECTED,0,False,,2007-01-22,2,2007-0022__AD_2007-0022_1__easa_ad_2007_0022.pdf,2007-0022__AD_2007-0022_1__easa_ad_2007_0022.pdf,cdccd0ff024c4b72,8503b08090394c18,8503b08090394c18183c8a6f3fc882b606e70d073a20d2a1a3368efb36d3314c,b1f9a01d86b5ee68899fe632ddbc7c36701826446672ca55b316c91b89e2b306,1rmY16pKyhw6o92ua2R-94SwuFyG0gp5Q,https://ad.easa.europa.eu/blob/easa_ad_2007_0022.pdf/AD_2007-0022_1,https://ad.easa.europa.eu/ad/2007-0022,,,False,required,not_assigned,review_required,selected_pdf_hash_verified,2026-07-22
2007-0278,2007-0278,2007,2006-2018,A330/A340,28,corrected|complex_applicability,PDF-confirmed correction with explicit supersedure of 2006-0322.,2007-0278|CORRECTED:2007-11-08,0,True,2007-11-08,2007-11-05,4,2007-0278__AD_2007-0278_1__easa_ad_2007_0278_Corrected_Superseded.pdf,2007-0278__AD_2007-0278_1__easa_ad_2007_0278_Corrected_Superseded.pdf,0b6a17dbe6f95907,e62c9e732351450f,e62c9e732351450fd652e17b1ab340a2d358aef0a6a724a85a76be7e66836d62,e03cfa29b8d2e765b5bfe66f98971b48982846341bcdc07e982cdf32b830a19c,16v3xd2g_87ScNmqiFAQz0Xnb-NKhVCXM,https://ad.easa.europa.eu/blob/easa_ad_2007_0278_Corrected_Superseded.pdf/AD_2007-0278_1,https://ad.easa.europa.eu/ad/2007-0278,,2006-0322,True,required,required,required,selected_pdf_hash_verified,2026-07-22
2008-0012,2008-0012,2008,2006-2018,A330/A340,55,complex_applicability,Part-number-dependent applicability and compound compliance without an AD-internal table.,2008-0012|UNCORRECTED,0,False,,2008-01-14,3,2008-0012__AD_2008-0012_1__easa_ad_2008_0012.pdf,2008-0012__AD_2008-0012_1__easa_ad_2008_0012.pdf,f2112ddc18baa008,8d4bb02fba9b8f90,8d4bb02fba9b8f90b2f384d4369b549c564e10cca1944323309fa972ae7a41df,a0480cc451a216e9270e1ec6817925699adbf1bc956f972a9090538679d3faa2,12Y0dQm-S784hUEMV91VeusRqXAnKtg4x,https://ad.easa.europa.eu/blob/easa_ad_2008_0012.pdf/AD_2008-0012_1,https://ad.easa.europa.eu/ad/2008-0012,,,False,required,not_assigned,review_required,selected_pdf_hash_verified,2026-07-22
2009-0025,2009-0025,2009,2006-2018,A318-A321,57,corrected,PDF-confirmed correction with an explicit-none supersedure field.,2009-0025|CORRECTED:2009-02-11,0,True,2009-02-11,2009-02-10,3,2009-0025__AD_2009-0025_1__easa_ad_2009_0025_Corrected.pdf,2009-0025__AD_2009-0025_1__easa_ad_2009_0025_Corrected.pdf,46511578be7115fd,9e738087562162da,9e738087562162dabd117aa81c78b99adc4db1c51c3054c8d0736dbaa89981b8,73e0979c4dc89064a846aa1ac1c89967cafdccfdb7d5fde3306e8144562c2145,1Kavv7UtX4hNDvw82Z3HJMVz4OD-QJ3mt,https://ad.easa.europa.eu/blob/easa_ad_2009_0025_Corrected.pdf/AD_2009-0025_1,https://ad.easa.europa.eu/ad/2009-0025,,,True,required,required,required,selected_pdf_hash_verified,2026-07-22
2009-0141,2009-0141,2009,2006-2018,A318-A321,55,complex_applicability|table_heavy|long_document,Eight-page table/appendix case later superseded by another selected AD.,2009-0141|UNCORRECTED,0,False,,2009-07-02,8,2009-0141__AD_2009-0141_1__easa_ad_2009_0141_superseded.pdf,2009-0141__AD_2009-0141_1__easa_ad_2009_0141_superseded.pdf,cb57166de0385f86,a0b5849caffa23be,a0b5849caffa23be317d10930c11e14e88264bcba262f96c986571b71b07c775,e25ca9e1c7ac34ee65ec489a979e53b8ba3cb6f08684456f0f45829d6c0c40ab,1l3a7s4wdNDyhWZc4bE6VLQiXxSK3FaVp,https://ad.easa.europa.eu/blob/easa_ad_2009_0141_superseded.pdf/AD_2009-0141_1,https://ad.easa.europa.eu/ad/2009-0141,,,False,required,not_assigned,review_required,selected_pdf_hash_verified,2026-07-22
2010-0164,2010-0164,2010,2006-2018,A318-A321,55,complex_applicability|table_heavy|long_document,Seventeen-page table-heavy AD explicitly superseding selected AD 2009-0141.,2010-0164|UNCORRECTED,0,False,,2010-08-05,17,2010-0164__AD_2010-0164_1__easa_ad_2010_0164.pdf,2010-0164__AD_2010-0164_1__easa_ad_2010_0164.pdf,60596be378420b04,86b266ac6cf4d180,86b266ac6cf4d180ee273e65c01d59a0c8375a763a278c2f270ce8d4bb639178,8ac32ec037ce20c7dcb2e3dad79761a41e2c0da2a41e139b6cf02dd3423cad70,1NG19xKj1Gn0j7imgM8wk8_dsZUbmMX_M,https://ad.easa.europa.eu/blob/easa_ad_2010_0164.pdf/AD_2010-0164_1,https://ad.easa.europa.eu/ad/2010-0164,,2009-0141,True,required,required,required,selected_pdf_hash_verified,2026-07-22
2011-0112,2011-0112,2011,2006-2018,A300,27,simple,Two-page original AD with one installation action and one non-repetitive compliance rule.,2011-0112|UNCORRECTED,0,False,,2011-06-15,2,2011-0112__AD_2011-0112_1__easa_ad_2011_0112.pdf,2011-0112__AD_2011-0112_1__easa_ad_2011_0112.pdf,7a321140308c146d,eed95fe844679ad3,eed95fe844679ad3a0a5fd00039b4f1228da0e6c4cbf1e506d26c54c0da30d21,a40c21d83474e15836579a0242bb704431b9d12f596db90aa5a3f2b26e2ae929,1XSYsZJHNtPpusi8I4SFui2-p4GklRiu3,https://ad.easa.europa.eu/blob/easa_ad_2011_0112.pdf/AD_2011-0112_1,https://ad.easa.europa.eu/ad/2011-0112,,,False,required,not_assigned,review_required,selected_pdf_hash_verified,2026-07-22
2012-0175R2,2012-0175,2012,2006-2018,A318-A321,27,revised|complex_applicability|table_heavy,R2 flight-controls case whose threshold is in Table 1 and affected parts in Appendix 1.,2012-0175R2|UNCORRECTED,2,False,,,6,2012-0175R2__AD_2012-0175R2_1__EASA_AD_2012_0175_R2_superseded.pdf,2012-0175R2__AD_2012-0175R2_1__EASA_AD_2012_0175_R2_superseded.pdf,08a8fc0e2bbbc711,39f7f5de5a6846f2,39f7f5de5a6846f202d1e2a36b9e21fcd9028852e2f7fa3131e0ec874bd98ae0,17e9800968d3c9825caca8bf44f6fd7d540b3b956dbf5f0089eaf1306affaa4a,1BviFFXvlcm-jeCVX83eV3UTgO2HOd4nK,https://ad.easa.europa.eu/blob/EASA_AD_2012_0175_R2_superseded.pdf/AD_2012-0175R2_1,https://ad.easa.europa.eu/ad/2012-0175R2,,,False,required,not_assigned,review_required,selected_pdf_hash_verified,2026-07-22
2013-0234R2,2013-0234,2013,2006-2018,A300/A310,57,revised|complex_applicability|table_heavy,R2 legacy-widebody case with exclusions and tabular scope.,2013-0234R2|UNCORRECTED,2,False,,2013-10-07,5,2013-0234R2__AD_2013-0234R2_1__easa_ad_2013_0234_R2.pdf,2013-0234R2__AD_2013-0234R2_1__easa_ad_2013_0234_R2.pdf,9a197fbc37092cfe,229ea53cfbd154f6,229ea53cfbd154f681361497f182ce9e07b353ca8fd9c10e86054e4a6484f416,3e0420a1c466a02b668f3b37d65745ab6ebef1dba465753e8a4f27e5cc729944,1joxX-IPnnTmjnHg3eZCnIMA7pn8OzuZt,https://ad.easa.europa.eu/blob/easa_ad_2013_0234_R2.pdf/AD_2013-0234R2_1,https://ad.easa.europa.eu/ad/2013-0234R2,,,False,required,not_assigned,review_required,selected_pdf_hash_verified,2026-07-22
2014-0062,2014-0062,2014,2006-2018,A330,78,other,"Short but non-simple case with conditional replacement, previous-action credit and installation constraint.",2014-0062|UNCORRECTED,0,False,,2014-03-11,2,2014-0062__AD_2014-0062_1__easa_ad_2014_0062.pdf,2014-0062__AD_2014-0062_1__easa_ad_2014_0062.pdf,58916308a3527d59,7ef7267c79cd3515,7ef7267c79cd35156c742bc7494f80e0dc29f405897eb9a8f708581309434eea,fdcbcdaf2a8412cd3a3ad2f77f97fe1c6bb4ccc75faa340c123b1ca6d2c813d9,15-SMqhgsZPJiNAJvf4eJkFqa_2nrdgcl,https://ad.easa.europa.eu/blob/easa_ad_2014_0062.pdf/AD_2014-0062_1,https://ad.easa.europa.eu/ad/2014-0062,,,False,required,not_assigned,review_required,selected_pdf_hash_verified,2026-07-22
2015-0135R3,2015-0135,2015,2006-2018,A318-A321,34,revised|complex_applicability|table_heavy|long_document,"R3, eight-page avionics case with tables and mature revision history.",2015-0135R3|UNCORRECTED,3,False,,,8,2015-0135R3__AD_2015-0135R3_1__EASA_AD_2015_0135_R3.pdf,2015-0135R3__AD_2015-0135R3_1__EASA_AD_2015_0135_R3.pdf,ffb267d0dfbcbbd9,4991cb05f2dd3499,4991cb05f2dd349934fc0368dedcbf20cd38ed4b817cfe36ceecd30343840048,7d2f1789ca7dcbac8a3dcf6f272ab71e16a3bb433a7d8001a17bf016f271b0aa,1MUxNEtBZ-MZ5ss44RIGBc6CoVRjM5uIy,https://ad.easa.europa.eu/blob/EASA_AD_2015_0135_R3.pdf/AD_2015-0135R3_1,https://ad.easa.europa.eu/ad/2015-0135R3,,,False,required,not_assigned,review_required,selected_pdf_hash_verified,2026-07-22
2016-0095,2016-0095,2016,2006-2018,A380,57,complex_applicability|table_heavy|near_duplicate_cluster,First member of the older high-similarity pair.,2016-0095|UNCORRECTED,0,False,,2016-06-02,6,2016-0095__AD_2016-0095_1__EASA_AD_2016_0095_superseded.pdf,2016-0095__AD_2016-0095_1__EASA_AD_2016_0095_superseded.pdf,7f221fbcf3eea6a5,e93a25b42010e906,e93a25b42010e906246600076f3424fce90fcb21429416ac3e20e7a6926d2ea0,8c9ca966e5cb5159bb51c03aa27a3dafd5eec1afd3c96681f5b5edf5eac6a9a8,1GpkEVvqAbirH3CW5REbgBLOjNxlMByFN,https://ad.easa.europa.eu/blob/EASA_AD_2016_0095_superseded.pdf/AD_2016-0095_1,https://ad.easa.europa.eu/ad/2016-0095,near-2016-0095--2017-0013,,True,required,required,required,selected_pdf_hash_verified,2026-07-22
2017-0013,2017-0013,2017,2006-2018,A380,57,complex_applicability|table_heavy|near_duplicate_cluster,Second member of the older pair; explicitly supersedes selected AD 2016-0095.,2017-0013|UNCORRECTED,0,False,,2017-02-10,6,2017-0013__AD_2017-0013_1__EASA_AD_2017_0013.pdf,2017-0013__AD_2017-0013_1__EASA_AD_2017_0013.pdf,67c94127f7b8e53d,7955fb2beeb7299d,7955fb2beeb7299dc96f3a6830555bf2c241b6cd1a0ec52fd6a300414a0d484d,dd3fc85ef4c15f4c5ab40dd91caa301f0d7946371d289547232100f4c4556f4c,1xaZztZABkKh4c8BSnd-Xq18wPPBhQ652,https://ad.easa.europa.eu/blob/EASA_AD_2017_0013.pdf/AD_2017-0013_1,https://ad.easa.europa.eu/ad/2017-0013,near-2016-0095--2017-0013,2016-0095,True,required,required,required,selected_pdf_hash_verified,2026-07-22
2018-0108,2018-0108,2018,2006-2018,A350,52,simple,Short original A350 AD used as a simple older baseline.,2018-0108|UNCORRECTED,0,False,,2018-05-29,2,2018-0108__AD_2018-0108_1__EASA_AD_2018_0108.pdf,2018-0108__AD_2018-0108_1__EASA_AD_2018_0108.pdf,75144c1f05797c10,8dc8f8bc21010575,8dc8f8bc2101057504d713f4a45613551e3e6c99367ca3c2936059eab7c785e2,117fb181915db0fefaf12aea4d801118942ed39bcf0043ef70a3897489cd1f4c,1S7kyOcu-JCphBtQ1ofuAJKkqmypVi_sA,https://ad.easa.europa.eu/blob/EASA_AD_2018_0108.pdf/AD_2018-0108_1,https://ad.easa.europa.eu/ad/2018-0108,,,False,required,not_assigned,review_required,selected_pdf_hash_verified,2026-07-22
