ad_number,base_ad_number,base_year,cohort,family,ata,strata,rationale,logical_version_key,revision_number,is_correction,issue_date,page_count,file_name,relative_path,file_instance_id,content_id,file_sha256,normalized_text_sha256,drive_file_id,pdf_url,detail_url,supersedes_ad_numbers,superseded_by_ad_numbers,supersedure_header,human_review,selection_status,selection_frozen_on
2019-0188,2019-0188,2019,2019-2026,A300-600ST,29,functional_test|complex_compliance,Beluga hydraulic reservoir line functional tests; recent ATA 29 case.,2019-0188|UNCORRECTED,0,False,2019-08-31,3,2019-0188__AD_2019-0188_1__EASA_AD_2019_0188.pdf,2019-0188__AD_2019-0188_1__EASA_AD_2019_0188.pdf,1d1f6357de0f3352,0ad4199c96e95aa1,0ad4199c96e95aa1c46f703a75c10b306fc914be416a84a7a4c5ecf456e318d6,3c417c43e50e3656994d29a18a07371e50d80dd2beec6f19ae1729ec5b2db725,1Bw5u4uQGLKh3b_ChfmkonKYgPQrKPgUx,https://ad.easa.europa.eu/blob/EASA_AD_2019_0188.pdf/AD_2019-0188_1,https://ad.easa.europa.eu/ad/2019-0188,,,None,required,selected_pdf_hash_verified,2026-07-30
2020-0016,2020-0016,2020,2019-2026,A380,36,configuration_grouped|part_conditioned,A380 bleed-air valve modification/replacement with configuration groups.,2020-0016|UNCORRECTED,0,False,2020-02-13,3,2020-0016__AD_2020-0016_1__EASA_AD_2020_0016.pdf,2020-0016__AD_2020-0016_1__EASA_AD_2020_0016.pdf,5c6e21ab23447af0,2408ee87eb214d5b,2408ee87eb214d5b09b401ef3ab1137c240ff00e128f6b81fddb3ea2410d83eb,f991412488a91a251c4d5d9fc64bf818b739d6b136deaf22e30293f64a99ba90,1Vt3eHxmAAapOVvuG6GdSyhvq1IYnCvms,https://ad.easa.europa.eu/blob/EASA_AD_2020_0016.pdf/AD_2020-0016_1,https://ad.easa.europa.eu/ad/2020-0016,,,None,required,selected_pdf_hash_verified,2026-07-30
2021-0221,2021-0221,2021,2019-2026,A380,21|24|25|28|53|71,multi_ata|complex_applicability|table_heavy,Six-ATA A380 production-conformity case with multiple independent actions.,2021-0221|UNCORRECTED,0,False,2021-10-15,5,2021-0221__AD_2021-0221_1__EASA_AD_2021_0221.pdf,2021-0221__AD_2021-0221_1__EASA_AD_2021_0221.pdf,8aaaf372db377584,9b565f697bd0ec4d,9b565f697bd0ec4d6090cee2c07c9ba265545777b3f8c8340211965d6b00d3d5,73d68b6d97defa98c53f34327754a574b549a70c88c1531a78da6a9b604f4cf1,1hHiNjZ7vh7mvBTMMO-rIsLcvYBWAHh2j,https://ad.easa.europa.eu/blob/EASA_AD_2021_0221.pdf/AD_2021-0221_1,https://ad.easa.europa.eu/ad/2021-0221,,,None,required,selected_pdf_hash_verified,2026-07-30
2021-0286,2021-0286,2021,2019-2026,A330,11,stc_conditioned|third_party_dah,A330 MRTT STC-conditioned placard installation; adds ATA 11.,2021-0286|UNCORRECTED,0,False,2022-01-04,3,2021-0286__AD_2021-0286_1__EASA_AD_2021_0286.pdf,2021-0286__AD_2021-0286_1__EASA_AD_2021_0286.pdf,a36d7f18af6e7a27,eeff34d335189fc2,eeff34d335189fc2617ec67116c20b1d4153dae80bcdbcc1caeac270f862fd35,24c6181a2accc9d7de396738bbe68453283761d45d022182e58f81b673b97dbc,1ALSt8brVnqLe5h5v03vuQnoDLT1FjrX9,https://ad.easa.europa.eu/blob/EASA_AD_2021_0286.pdf/AD_2021-0286_1,https://ad.easa.europa.eu/ad/2021-0286,,,None,required,selected_pdf_hash_verified,2026-07-30
2022-0058,2022-0058,2022,2019-2026,A300/A310/A300-600ST,56,long_document|table_heavy|complex_applicability,Six-page windshield inspection spanning legacy Airbus and Beluga types.,2022-0058|UNCORRECTED,0,False,2022-04-11,6,2022-0058__AD_2022-0058_1__EASA_AD_2022_0058.pdf,2022-0058__AD_2022-0058_1__EASA_AD_2022_0058.pdf,772cd84a0961a452,eda1c5b45401003d,eda1c5b45401003d8cf8e91dd56fcd9f05f48a7ff2f630dc481e31f48c67aed0,9e7e3cf8b6e6fab49735429327f6fc8c3f4c198fb4f53a8d987f8624fc1f4f8f,1Cao5Pn4P83P7LosCYBxOTjO4HH5YyejE,https://ad.easa.europa.eu/blob/EASA_AD_2022_0058.pdf/AD_2022-0058_1,https://ad.easa.europa.eu/ad/2022-0058,,,None,required,selected_pdf_hash_verified,2026-07-30
2023-0057,2023-0057,2023,2019-2026,A330/A340,49,part_conditioned|replacement,A330/A340 APU fuel-control-unit replacement; adds ATA 49.,2023-0057|UNCORRECTED,0,False,2023-03-30,3,2023-0057__AD_2023-0057_1__EASA_AD_2023_0057.pdf,2023-0057__AD_2023-0057_1__EASA_AD_2023_0057.pdf,e17febf10e432eb9,847d36faa95be218,847d36faa95be21809ba3b9d3e5ce62c7b09310c1b3590b482919bee33daec85,3866e0325597fc44ba9ab53e3221ac552cfd3be851e5e0f447a197f3094fd063,1N72gJe-BlJNEe0PRD0Kyh2qndQ1qog7Q,https://ad.easa.europa.eu/blob/EASA_AD_2023_0057.pdf/AD_2023-0057_1,https://ad.easa.europa.eu/ad/2023-0057,,,None,required,selected_pdf_hash_verified,2026-07-30
2024-0001,2024-0001,2024,2019-2026,A310,05,maintenance_program|complex_compliance,A310 ALS/maintenance-program amendment; adds ATA 05.,2024-0001|UNCORRECTED,0,False,2024-01-18,4,2024-0001__AD_2024-0001_1__EASA_AD_2024_0001.pdf,2024-0001__AD_2024-0001_1__EASA_AD_2024_0001.pdf,dc59a5a0114b782d,a916bad7d9b3f498,a916bad7d9b3f498d45d19b3491237cdf0c23acf30c0bd1a542952df85aab5e2,e76704975e0df8efa78e4c4aaae504997743cc70c61d3111b50f5b917ad4b8ae,1px32tbG4dnKQwp-RYDnJiPCHgq-rARlQ,https://ad.easa.europa.eu/blob/EASA_AD_2024_0001.pdf/AD_2024-0001_1,https://ad.easa.europa.eu/ad/2024-0001,,,None,required,selected_pdf_hash_verified,2026-07-30
2025-0138,2025-0138,2025,2019-2026,A350,35,part_conditioned|records_review,A350 chemical oxygen generator replacement; adds ATA 35.,2025-0138|UNCORRECTED,0,False,2025-07-15,3,2025-0138__AD_2025-0138_1__EASA_AD_2025_0138.pdf,2025-0138__AD_2025-0138_1__EASA_AD_2025_0138.pdf,5762b029d7edbc0c,022bd207e853740b,022bd207e853740b3b0c57facb7cb105e6ad4cf09c61286b4fa193483835fa93,d427a7edbb8a222acd01bbcd463e417110633b3e081f3f5b4c0ca738a86e702d,165ZxLu0EwG_Z5C9eT4SXXV19Q8yD-yk9,https://ad.easa.europa.eu/blob/EASA_AD_2025_0138.pdf/AD_2025-0138_1,https://ad.easa.europa.eu/ad/2025-0138,,,None,required,selected_pdf_hash_verified,2026-07-30
2025-0181,2025-0181,2025,2019-2026,A350,42,serial_number_list|appendix|replacement,A350 CPIOM replacement with an affected serial-number appendix; adds ATA 42.,2025-0181|UNCORRECTED,0,False,2025-09-03,4,2025-0181__AD_2025-0181_1__EASA_AD_2025_0181.pdf,2025-0181__AD_2025-0181_1__EASA_AD_2025_0181.pdf,b0e89b78cd668c9e,ad4f4e646bfa7d1a,ad4f4e646bfa7d1aff96439c844798e50ed71a891889d13a27954fa326841136,ccaad3f21f1c2505454a30341f528293f6f4d160e4c1450583d6385ef4a4af1f,1JkNcjPmrwJPohhgpzMBF9MyO5G_B-sBO,https://ad.easa.europa.eu/blob/EASA_AD_2025_0181.pdf/AD_2025-0181_1,https://ad.easa.europa.eu/ad/2025-0181,,,None,required,selected_pdf_hash_verified,2026-07-30
2026-0100,2026-0100,2026,2019-2026,A330,71,part_conditioned|inspection,A330 intake nose-cowl inspection; recent ATA 71 case.,2026-0100|UNCORRECTED,0,False,2026-06-04,4,2026-0100__AD_2026-0100_1__EASA_AD_2026_0100.pdf,2026-0100__AD_2026-0100_1__EASA_AD_2026_0100.pdf,34edf2d1b2e65515,406b267c2650d41e,406b267c2650d41e3cd7bbcc7d822d5d37f6fc91aa885b7161b16ba60938e8d5,dc0f9a0f80a4589c8d2b54fd669066afee88715e029619f76342f3e3826e842d,1-uFIkAv6GXmc2uLCcVq-vRd9ByBvQdlU,https://ad.easa.europa.eu/blob/EASA_AD_2026_0100.pdf/AD_2026-0100_1,https://ad.easa.europa.eu/ad/2026-0100,,,None,required,selected_pdf_hash_verified,2026-07-30
